figure,panel,series,seed,x,value,detail
2,B,aligned,500,28,0.5715338914167314,seed mean across memories
2,C,aligned,500,28,0.6142857142857144,seed mean across memories
2,B,aligned,501,28,0.4910293138615551,seed mean across memories
2,C,aligned,501,28,0.5428571428571429,seed mean across memories
2,B,aligned,502,28,0.5925571911391759,seed mean across memories
2,C,aligned,502,28,0.6285714285714287,seed mean across memories
2,B,aligned,503,28,0.5857639380154156,seed mean across memories
2,C,aligned,503,28,0.6214285714285716,seed mean across memories
2,B,aligned,504,28,0.5956177932638971,seed mean across memories
2,C,aligned,504,28,0.6285714285714288,seed mean across memories
2,B,aligned,505,28,0.49104493749993183,seed mean across memories
2,C,aligned,505,28,0.5285714285714287,seed mean across memories
2,B,aligned,506,28,0.47759400727308055,seed mean across memories
2,C,aligned,506,28,0.5214285714285715,seed mean across memories
2,B,aligned,507,28,0.5305585950046044,seed mean across memories
2,C,aligned,507,28,0.5714285714285715,seed mean across memories
2,B,aligned,508,28,0.5331450364009928,seed mean across memories
2,C,aligned,508,28,0.5785714285714286,seed mean across memories
2,B,aligned,509,28,0.5486723140828192,seed mean across memories
2,C,aligned,509,28,0.5928571428571429,seed mean across memories
2,B,aligned,510,28,0.5242439470593893,seed mean across memories
2,C,aligned,510,28,0.5642857142857144,seed mean across memories
2,B,aligned,511,28,0.5361099874749232,seed mean across memories
2,C,aligned,511,28,0.5785714285714286,seed mean across memories
2,B,aligned,512,28,0.5670945262388577,seed mean across memories
2,C,aligned,512,28,0.6071428571428573,seed mean across memories
2,B,aligned,513,28,0.5223083542216392,seed mean across memories
2,C,aligned,513,28,0.5642857142857144,seed mean across memories
2,B,aligned,514,28,0.4816678703304321,seed mean across memories
2,C,aligned,514,28,0.5357142857142858,seed mean across memories
2,B,aligned,515,28,0.4566396766504835,seed mean across memories
2,C,aligned,515,28,0.5071428571428572,seed mean across memories
2,B,aligned,516,28,0.5837773376750567,seed mean across memories
2,C,aligned,516,28,0.6214285714285716,seed mean across memories
2,B,aligned,517,28,0.49767455815278466,seed mean across memories
2,C,aligned,517,28,0.5428571428571429,seed mean across memories
2,B,aligned,518,28,0.5659616169711901,seed mean across memories
2,C,aligned,518,28,0.6000000000000002,seed mean across memories
2,B,aligned,519,28,0.5137848005366062,seed mean across memories
2,C,aligned,519,28,0.5571428571428572,seed mean across memories
2,B,fixed_permutation,500,28,-0.02444100601299056,seed mean across memories
2,C,fixed_permutation,500,28,0.07857142857142858,seed mean across memories
2,B,fixed_permutation,501,28,-0.006958515515244022,seed mean across memories
2,C,fixed_permutation,501,28,0.09285714285714289,seed mean across memories
2,B,fixed_permutation,502,28,0.05027973751621318,seed mean across memories
2,C,fixed_permutation,502,28,0.14285714285714288,seed mean across memories
2,B,fixed_permutation,503,28,0.0011227956166945396,seed mean across memories
2,C,fixed_permutation,503,28,0.10000000000000002,seed mean across memories
2,B,fixed_permutation,504,28,0.05021845870850702,seed mean across memories
2,C,fixed_permutation,504,28,0.14285714285714288,seed mean across memories
2,B,fixed_permutation,505,28,-0.04623755708484252,seed mean across memories
2,C,fixed_permutation,505,28,0.057142857142857155,seed mean across memories
2,B,fixed_permutation,506,28,-0.0382682167370542,seed mean across memories
2,C,fixed_permutation,506,28,0.0642857142857143,seed mean across memories
2,B,fixed_permutation,507,28,-0.02157272622467222,seed mean across memories
2,C,fixed_permutation,507,28,0.0785714285714286,seed mean across memories
2,B,fixed_permutation,508,28,-0.015958163560434387,seed mean across memories
2,C,fixed_permutation,508,28,0.07142857142857144,seed mean across memories
2,B,fixed_permutation,509,28,0.008237314442723789,seed mean across memories
2,C,fixed_permutation,509,28,0.1,seed mean across memories
2,B,fixed_permutation,510,28,-0.02067346977865108,seed mean across memories
2,C,fixed_permutation,510,28,0.0785714285714286,seed mean across memories
2,B,fixed_permutation,511,28,0.0010430105555319681,seed mean across memories
2,C,fixed_permutation,511,28,0.10000000000000002,seed mean across memories
2,B,fixed_permutation,512,28,0.054009284379588914,seed mean across memories
2,C,fixed_permutation,512,28,0.14285714285714288,seed mean across memories
2,B,fixed_permutation,513,28,0.025247183360894106,seed mean across memories
2,C,fixed_permutation,513,28,0.12142857142857146,seed mean across memories
2,B,fixed_permutation,514,28,0.014798787050231691,seed mean across memories
2,C,fixed_permutation,514,28,0.11428571428571431,seed mean across memories
2,B,fixed_permutation,515,28,-0.03712754636605242,seed mean across memories
2,C,fixed_permutation,515,28,0.0642857142857143,seed mean across memories
2,B,fixed_permutation,516,28,0.06399838515523233,seed mean across memories
2,C,fixed_permutation,516,28,0.1571428571428572,seed mean across memories
2,B,fixed_permutation,517,28,-0.04327340390607369,seed mean across memories
2,C,fixed_permutation,517,28,0.0642857142857143,seed mean across memories
2,B,fixed_permutation,518,28,-0.005187843400139643,seed mean across memories
2,C,fixed_permutation,518,28,0.09285714285714287,seed mean across memories
2,B,fixed_permutation,519,28,0.027910188894718645,seed mean across memories
2,C,fixed_permutation,519,28,0.12142857142857146,seed mean across memories
2,B,decoder_rescue,500,28,0.5715338452940896,seed mean across memories
2,C,decoder_rescue,500,28,0.6142857142857144,seed mean across memories
2,B,decoder_rescue,501,28,0.49102929638077825,seed mean across memories
2,C,decoder_rescue,501,28,0.5428571428571429,seed mean across memories
2,B,decoder_rescue,502,28,0.592557189956544,seed mean across memories
2,C,decoder_rescue,502,28,0.6285714285714287,seed mean across memories
2,B,decoder_rescue,503,28,0.5857639468851544,seed mean across memories
2,C,decoder_rescue,503,28,0.6214285714285716,seed mean across memories
2,B,decoder_rescue,504,28,0.5956177974031085,seed mean across memories
2,C,decoder_rescue,504,28,0.6285714285714288,seed mean across memories
2,B,decoder_rescue,505,28,0.49104491621255875,seed mean across memories
2,C,decoder_rescue,505,28,0.5285714285714287,seed mean across memories
2,B,decoder_rescue,506,28,0.47759400039900574,seed mean across memories
2,C,decoder_rescue,506,28,0.5214285714285715,seed mean across memories
2,B,decoder_rescue,507,28,0.5305586204311891,seed mean across memories
2,C,decoder_rescue,507,28,0.5714285714285715,seed mean across memories
2,B,decoder_rescue,508,28,0.5331450165919093,seed mean across memories
2,C,decoder_rescue,508,28,0.5785714285714286,seed mean across memories
2,B,decoder_rescue,509,28,0.5486722992999212,seed mean across memories
2,C,decoder_rescue,509,28,0.5928571428571429,seed mean across memories
2,B,decoder_rescue,510,28,0.5242439387809663,seed mean across memories
2,C,decoder_rescue,510,28,0.5642857142857144,seed mean across memories
2,B,decoder_rescue,511,28,0.5361100016626797,seed mean across memories
2,C,decoder_rescue,511,28,0.5785714285714286,seed mean across memories
2,B,decoder_rescue,512,28,0.5670945351085965,seed mean across memories
2,C,decoder_rescue,512,28,0.6071428571428573,seed mean across memories
2,B,decoder_rescue,513,28,0.522308311646893,seed mean across memories
2,C,decoder_rescue,513,28,0.5642857142857144,seed mean across memories
2,B,decoder_rescue,514,28,0.4816678514083227,seed mean across memories
2,C,decoder_rescue,514,28,0.5357142857142858,seed mean across memories
2,B,decoder_rescue,515,28,0.4566396828593007,seed mean across memories
2,C,decoder_rescue,515,28,0.5071428571428572,seed mean across memories
2,B,decoder_rescue,516,28,0.5837772962829424,seed mean across memories
2,C,decoder_rescue,516,28,0.6214285714285716,seed mean across memories
2,B,decoder_rescue,517,28,0.4976745529602917,seed mean across memories
2,C,decoder_rescue,517,28,0.5428571428571429,seed mean across memories
2,B,decoder_rescue,518,28,0.5659616228843493,seed mean across memories
2,C,decoder_rescue,518,28,0.6000000000000002,seed mean across memories
2,B,decoder_rescue,519,28,0.513784827128499,seed mean across memories
2,C,decoder_rescue,519,28,0.5571428571428572,seed mean across memories
2,B,random_matched,500,28,-0.012947640594928672,seed mean across memories
2,C,random_matched,500,28,0.08571428571428573,seed mean across memories
2,B,random_matched,501,28,0.028355000157692677,seed mean across memories
2,C,random_matched,501,28,0.12142857142857147,seed mean across memories
2,B,random_matched,502,28,0.024998556230794767,seed mean across memories
2,C,random_matched,502,28,0.12142857142857146,seed mean across memories
2,B,random_matched,503,28,0.03266272510755612,seed mean across memories
2,C,random_matched,503,28,0.12857142857142861,seed mean across memories
2,B,random_matched,504,28,0.001614722490129551,seed mean across memories
2,C,random_matched,504,28,0.10000000000000005,seed mean across memories
2,B,random_matched,505,28,0.0359320038841129,seed mean across memories
2,C,random_matched,505,28,0.1285714285714286,seed mean across memories
2,B,random_matched,506,28,0.025324865854248386,seed mean across memories
2,C,random_matched,506,28,0.12142857142857146,seed mean across memories
2,B,random_matched,507,28,0.00798691816735859,seed mean across memories
2,C,random_matched,507,28,0.10714285714285716,seed mean across memories
2,B,random_matched,508,28,-0.0015929227609771549,seed mean across memories
2,C,random_matched,508,28,0.1,seed mean across memories
2,B,random_matched,509,28,0.09256795805880487,seed mean across memories
2,C,random_matched,509,28,0.17857142857142863,seed mean across memories
2,B,random_matched,510,28,-0.030655846769819094,seed mean across memories
2,C,random_matched,510,28,0.07142857142857144,seed mean across memories
2,B,random_matched,511,28,0.015424010901313174,seed mean across memories
2,C,random_matched,511,28,0.11428571428571432,seed mean across memories
2,B,random_matched,512,28,-0.009393250099263908,seed mean across memories
2,C,random_matched,512,28,0.09285714285714286,seed mean across memories
2,B,random_matched,513,28,-0.014413370830472286,seed mean across memories
2,C,random_matched,513,28,0.08571428571428573,seed mean across memories
2,B,random_matched,514,28,0.07698233244850725,seed mean across memories
2,C,random_matched,514,28,0.16428571428571434,seed mean across memories
2,B,random_matched,515,28,-0.031166208847026842,seed mean across memories
2,C,random_matched,515,28,0.07142857142857144,seed mean across memories
2,B,random_matched,516,28,0.010185004541884004,seed mean across memories
2,C,random_matched,516,28,0.10714285714285718,seed mean across memories
2,B,random_matched,517,28,0.013341638976329766,seed mean across memories
2,C,random_matched,517,28,0.11428571428571431,seed mean across memories
2,B,random_matched,518,28,0.03453200238488071,seed mean across memories
2,C,random_matched,518,28,0.12142857142857147,seed mean across memories
2,B,random_matched,519,28,0.018717764194193652,seed mean across memories
2,C,random_matched,519,28,0.11428571428571431,seed mean across memories
2,B,no_plasticity,500,28,0.005640010247358099,seed mean across memories
2,C,no_plasticity,500,28,0.0785714285714286,seed mean across memories
2,B,no_plasticity,501,28,0.0005947211010072942,seed mean across memories
2,C,no_plasticity,501,28,0.09285714285714287,seed mean across memories
2,B,no_plasticity,502,28,-0.054519709135684755,seed mean across memories
2,C,no_plasticity,502,28,0.03571428571428572,seed mean across memories
2,B,no_plasticity,503,28,0.009767459515604145,seed mean across memories
2,C,no_plasticity,503,28,0.08571428571428573,seed mean across memories
2,B,no_plasticity,504,28,0.06025890667464524,seed mean across memories
2,C,no_plasticity,504,28,0.13571428571428573,seed mean across memories
2,B,no_plasticity,505,28,0.009701498917055445,seed mean across memories
2,C,no_plasticity,505,28,0.09285714285714287,seed mean across memories
2,B,no_plasticity,506,28,0.009139921203429343,seed mean across memories
